longitude,latitude,code,name,type,phone,dates_open,comments,num_sites,elevation,amenities,state,nearest_town_distance,nearest_town_bearing,city,location
-96.326,42.306,BIGE,Bigelow County Park,CP,712.946.7114,,,,,E DP,IA,1.9,W,Salix,POINT(-96.326 42.306)
-92.478,42.563,BLAP,Black Hawk County Park,CP,319.433.7275,,,,,E 40ft,IA,2.5,NW,Cedar Falls,POINT(-92.478 42.563)
-95.017,42.292,BLAC,Black Hawk State Park,SP,712.657.8712,all year,,128,,E DP DW SH RS L$,IA,2.3,SE,Lake View,POINT(-95.017 42.292)
-91.212,43.044,BLOO,Bloody Run County Park,CP,563.245.1516,,,19,,NH,IA,1.7,W,Marquette,POINT(-91.212 43.044)
-93.685,41.701,BOBS,Bob Shetler - Saylorville Lake,COE,515.276.0873,early may-late sep,,70,,WES DP DW SH RS PA,IA,8,NW,Des Moines,POINT(-93.685 41.701)
-93.398,40.708,BOBW,Bobwhite State Park,SP,641.873.4670,,,30,,E ND NS NR,IA,1.7,W,Allerton,POINT(-93.398 40.708)
-95.363,41.396,BOTN,Botna Bend County Park,CP,712.741.5465,all year,,40,,WES DP DW SH L$,IA,0.4,N,Hancock,POINT(-95.363 41.396)
-93.04,42.236,BREK,Brekke Memorial Park,CP,,,primitive,,,NH ND FT DW NS,IA,1.4,SE,Union,POINT(-93.04 42.236)
-93.012,40.876,BRID,Bridgeview - Rathbun Lake,COE,641.724.3062,early may-late sep,,110,,E DP DW SH RS PA L$,IA,10.1,W,Moravia,POINT(-93.012 40.876)
-93.802,42.432,BRIG,Briggs Woods Park,CP,515.832.9570,,,80,,WES DP 40ft DW SH L$,IA,2.7,S,Webster City,POINT(-93.802 42.432)
-91.85,41.224,BRIN,Brinton Timber,CP,,,,,,NH ND NS,IA,3.7,NW,Brighton,POINT(-91.85 41.224)
-96.326,42.306,BROW,Browns Lake  -  Bigelow Park,CP,712.946.7114,,,40,,,IA,2,W,Salix,POINT(-96.326 42.306)
-96.326,42.306,BROW,Browns Lake Bigelow Park,CP,712.946.7114,,,,,E FT DW SH,IA,2,W,Salix,POINT(-96.326 42.306)
-93.983,42.394,BRUS,Brushy Creek  State Rec Area,SRA,515.543.8298,all year,,180,,E DP SH RS,IA,4.2,NE,Lehigh,POINT(-93.983 42.394)
-92.869,40.85,BUCK,Buck Creek - Rathbun Lake,COE,641.724.3206,early may-late sep,,40,,E DP SH RS PA,IA,3.8,SW,Moravia,POINT(-92.869 40.85)
-91.209,42.879,BUCK,Buck Creek County Park,CP,,,primitive,,,NH DW,IA,,,,POINT(-91.209 42.879)
-95.338,42.884,BUEN,Buena Vista Co Park,CP,712.295.7985,,,18,,E FT DW SH RS L$,IA,4.7,W,Linn Grove,POINT(-95.338 42.884)
-91.687,42.471,BUFA,Buffalo Creek Area,CP,,,primitive,,,NH ND VT NS,IA,2.4,E,Winthrop,POINT(-91.687 42.471)
-91.542,42.287,BUFC,Buffalo Creek County Park,CP,319.892.6450,,,18,,WE DP,IA,0.7,NW,Coggon,POINT(-91.542 42.287)
-90.745,41.454,BUFF,Buffalo Shores County Park,CP,563.328.3281,,,65,,WE DP DW SH,IA,1.2,W,Buffalo,POINT(-90.745 41.454)
-90.182,41.935,BULG,Bulgers Hollow - Mississippi River,COE,815.259.3628,,,25,,NH DP NS NR L$,IA,6.2,N,Clinton,POINT(-90.182 41.935)
-96.319,42.637,BURO,Bur Oak - Hillview County Rec Area,CP,,,,18,,NH VT DW NS,IA,,,Hinton,POINT(-96.319 42.637)
-94.401,43.488,BURT,Burt Lake County Park,CP,515.295.2138,early apr-late oct,noisy,,,E DP DW L$,IA,8.4,NW,Swea City,POINT(-94.401 43.488)
-92.761,42.844,CAMP,Camp Comfort,CP,,,,40,,E ND FT DW NS,IA,,,Greene,POINT(-92.761 42.844)
-95.043,42.308,CAMC,Camp Crescent Park,CP,712.657.2189,,,,,E DP DW SH L$,IA,0.6,E,Lake View,POINT(-95.043 42.308)
-91.014,41.162,CAPP,Cappy Russell Access,COE,,,no facilities,,,NH ND NT NW NS NR N$,IA,4.6,N,Oakville,POINT(-91.014 41.162)
-95.424,41.237,CARS,Carson City Park,CP,,,,15,,WE DP FT DW SH L$,IA,,,Carson,POINT(-95.424 41.237)
-94.517,41.509,CASE,Casey City Park - Abram Rutt,CP,641.746.3315,all year,,10,,E DP DW SH L$,IA,0.3,N,Casey,POINT(-94.517 41.509)
-92.494,42.76,CEDA,Cedar Bend Park,CP,,,,40,,E DP DW SH N$,IA,2.6,NW,Waverly,POINT(-92.494 42.76)
-92.855,43.283,CEDA,Cedar Bridge County Park,CP,,,,18,,WE DP FT DW SH,IA,1.8,W,Osage,POINT(-92.855 43.283)
-92.859,41.258,CEDA,Cedar Creek Access,CP,,,primitive,,,NH ND NS,IA,11.1,W,Oskaloosa,POINT(-92.859 41.258)
-91.235,41.721,CEDA,Cedar Valley Co Park,CP,,,,30,,E ND l$,IA,26.2,N,Cedar Bluffs,POINT(-91.235 41.721)
-92.548,42.959,CEDV,Cedar View Park,CP,641.435.4156,,,,,E DW SH,IA,0.7,NW,Nashua,POINT(-92.548 42.959)
-91.138,42.11,CENT,Central Park,CP,563.487.3541,mid apr-mid oct,,100,,WES DP FT DW,IA,2.6,W,Center Junctio,POINT(-91.138 42.11)
-92.206,41.303,CHAC,Chacauqua River Access,CP,,,river ramp - primitive - unknown facilities,,,NH ND NS,IA,,,Sigourney,POINT(-92.206 41.303)
-95.557,42.738,CHEK,Cherokee City Park,CP,712.225.5749,,,,,E DP,IA,0.8,S,Cherokee,POINT(-95.557 42.738)
-93.68,41.732,CHER,Cherry Glen - Saylorville Lake,COE,515.964.8792,mid apr-mid oct,,125,,WES DP 60ft DW SH RS PA,IA,9.8,N,Des Moines,POINT(-93.68 41.732)
-93.429,41.791,CHIC,Chichaqua Bottoms Greenbelt,CP,515.967.2596,,,36,,E DW SH,IA,7.1,S,Maxwell,POINT(-93.429 41.791)
-92.503,43.033,CHIS,Chickasaw Park,CP,,,,,,NH ND PT NS,IA,2.4,W,Ionia,POINT(-92.503 43.033)
-96.17,43.07,CHIL,Childrens Park,CP,712.722.0761,,,,,E ND NS NR L$,IA,0.8,SE,Sioux Center,POINT(-96.17 43.07)
-91.939,43.423,CHIM,Chimney Rock County Park,CP,,,primitive,,,NH ND VT NS NR,IA,9.2,E,Cresco,POINT(-91.939 43.423)
-93.499,40.863,CIND,Cinder Path RV Park,CP,641.877.6841,,,14,,E DP DW NS,IA,0.3,N,Humeston,POINT(-93.499 40.863)
-90.809,41.458,CLAR,Clarks Ferry - Mississippi River,COE,563.381.4043,early apr-late sep,,45,,E DP SH RS PA,IA,12.3,E,Muscatine,POINT(-90.809 41.458)
-93.389,43.111,CLEA,Clear Lake State Park,SP,641.357.4212,all year,,215,,WES DP 60ft DW SH RS L$,IA,2.3,S,Clear Lake,POINT(-93.389 43.111)
-95.476,42.351,COBB,Cobb City Park,CP,712.364.2958,,,45,,WE DP DW SH L$,IA,0.4,NW,Ida Grove,POINT(-95.476 42.351)
-95.136,41.255,COCK,Cocklin Fish Farm,CP,712.769.2372,,,56,,E FT NS,IA,1.4,N,Griswold,POINT(-95.136 41.255)
-91.534,42.494,COFF,Coffins Grove,CP,563.927.3410,,,25,,E DP,IA,3.9,W,Manchester.,POINT(-91.534 42.494)
-95.084,41.291,COLS,Cold Spring Park,CP,712.769.2372,,,80,,E DP DW SH,IA,1,S,Lewis,POINT(-95.084 41.291)
-92.642,43.156,COLW,Colwell County Park,CP,641.756.3490,,,,,NH ND NS N$,IA,2.4,W,Colwell,POINT(-92.642 43.156)
-94.465,42.624,COOP,Coopers Cove Co Park,CP,,mid apr-mid oct,,12,,E DP FT DW SH,IA,6.5,W,Clare,POINT(-94.465 42.624)
-93.335,40.751,CORY,Corydon Lake Co Park,CP,,,,20,,WE ND FT DW SH,IA,1,SW,Corydon,POINT(-93.335 40.751)
-91.53,41.723,COTT,Cottonwood - Coralville Lake,COE,515.276.4656,mid apr-mid oct,,,,NH DP SH RS PA,IA,4.3,N,Iowa City,POINT(-91.53 41.723)
-95.601,42.275,CRAW,Crawford Creek County Rec Area,CP,,,3 campgrounds,24,,E DP DW SH,IA,2.8,S,Battle Creek,POINT(-95.601 42.275)
-94.044,41.213,CRIS,Criss Cove County Park,CP,,,,16,,WE ND VT NS L$,IA,8.3,S,Winterset.,POINT(-94.044 41.213)
-93.19,42.478,CROS,Cross Ford River Access,CP,,,primitive,,,NH ND NS,IA,4.8,SE,Iowa Falls,POINT(-93.19 42.478)
-93.783,43.23,CRYS,Crystal Lake Park,CP,,,,95,,E DP FT DW SH NR L$,IA,0.7,NE,Crystal Lake,POINT(-93.783 43.23)
-92.063,42.544,CUTS,Cutshall Area,CP,,,primitive,,,NH VT,IA,4.7,N,Jesup,POINT(-92.063 42.544)
-93.573,43.465,DAHL,Dahle Park,CP,641.565.3390,,,,,E PT DW L$,IA,3.7,NW,Lake Mills,POINT(-93.573 43.465)
-93.043,42.249,DAIS,Daisy Long County Park,CP,641.648.4361,,,45,,E DP DW SH,IA,1.1,E,Union,POINT(-93.043 42.249)
-93.292,42.171,DAKI,Dakins Lake County Park,CP,641.487.7477,,,10,,E,IA,0.8,N,Zearing,POINT(-93.292 42.171)
-94.019,41.629,DALL,Dallas County Fairgrounds,CP,515.993.4984,,,,,WE DP DW SH L$,IA,1,N,Adel,POINT(-94.019 41.629)
-93.068,42.28,DAVI,David Bates Memorial Park,CP,,,,,,NH ND VT DW NS L$,IA,2.4,N,Union,POINT(-93.068 42.28)
-96.189,42.009,DECA,Decatur Bend Access,CP,,all year,primitive,6,,E PT L$,IA,4.9,W,Onawa,POINT(-96.189 42.009)
-90.47,41.96,DEEP,Deep Creek,CP,563.677.2710,,,11,,E DP FT NS,IA,0.2,W,Charlotte,POINT(-90.47 41.96)
-96.325,42.643,DEER,Deer Ridge - Hillview County Rec Area,CP,,,,27,,WE FT DW SH,IA,,,Hinton,POINT(-96.325 42.643)
-92.303,42.462,DEER,Deerwood City Park,CP,319.493.0655,,,,,WES DP DW SH L$,IA,2.9,SE,Waterloo,POINT(-92.303 42.462)
-95.338,41.826,DEFI,Defiance RV Park,CP,712 748.3431,,,,,WE DP DW SH RS L$,IA,0.1,N,Defiance,POINT(-95.338 41.826)
-94.233,42.95,DEVI,Devine Wildlife Area,CP,515.295.2138,,,,,NH ND NS,IA,8.3,S,Algona,POINT(-94.233 42.95)
-92.542,41.593,DIAM,Diamond Lake County Park,CP,641.623.3630,,,100,,E DP DW SH L$,IA,0.9,NW,Montezuma,POINT(-92.542 41.593)
-94.687,42.118,DICK,Dickson Timber County Park,CP,,,,,,E,IA,4.8,NE,Glidden,POINT(-94.687 42.118)
-95.474,42.935,DOG,Dog Creek Co Park,CP,712.295.7200,,,,,NH FT L$,IA,2.9,SE,Sutherland,POINT(-95.474 42.935)
-94.083,42.387,DOLL,Dolliver Memorial State Park,SP,515.359.2539,all year,,30,,E DP DW SH RS L$,IA,4.3,SE,Otho,POINT(-94.083 42.387)
-94.027,42.12,DONW,Don Williams Park,CP,515.275.9906,,,,,E DP DW SH L$,IA,5.6,N,Ogden,POINT(-94.027 42.12)
-95.705,43.163,DOUM,Douma Co Park,CP,712.295.7200,,,,,NH FT L$,IA,2.8,SW,Sanborn,POINT(-95.705 43.163)
-92.046,42.741,DOWN,Downing County Park,CP,563.425.3613,,,,,E FT NS,IA,3.2,SW,Westgate,POINT(-92.046 42.741)
-93.508,42.654,DOWS,Dows Pool Park,CP,,,,,,E DW SH,IA,0.4,SW,Dows,POINT(-93.508 42.654)
-92.479,40.802,DRAK,Drakesville City Park,CP,641.722.3859,,,6,,E ND NS,IA,4.8,NW,Bloomfield,POINT(-92.479 40.802)
-90.641,42.523,DUBU,Dubuque Yacht Basin and RV Park,CP,563.556.7708,,walk to sites only,56,,WE,IA,1.9,NE,Dubuque,POINT(-90.641 42.523)
-91.771,42.996,DUTT,Duttons Cave Co Park,CP,,,,5,,E PT DW,IA,3,NE,West Union,POINT(-91.771 42.996)
-93.146,42.472,EAGL,Eagle City County Park,CP,,,,,,NH ND NS,IA,6.9,SE,Iowa Falls,POINT(-93.146 42.472)
-93.744,41.033,EASL,East Lake Co Park,CP,641.342.3960,,,,,ND NS,IA,1.2,E,Osceola,POINT(-93.744 41.033)
-95.138,43.134,EAST,East Leach City Park,CP,712.264.7265,,,200,,E DP DW SH L$,IA,0.9,S,Spencer,POINT(-95.138 43.134)
-90.855,42.047,EDEN,Eden Valley Park,CP,563.847.7202,,,,,E DP DW SH,IA,2,S,Baldwin,POINT(-90.855 42.047)
-91.551,41.68,EDGE,Edgewater City Park,CP,319.466.7605,,,,,,IA,1.7,NW,Iowa City,POINT(-91.551 41.68)
-91.399,42.645,EDGW,Edgewood Campground,CP,563.928.6613,,,,,E NS,IA,0.1,E,Edgewood,POINT(-91.399 42.645)
-94.669,42.739,ELBE,Elbert Park,CP,712.335.4841,,,,,WES DP NS,IA,0.2,N,Pocahontas,POINT(-94.669 42.739)
-93.56,42.941,ELDR,Eldred Sherwood Park,CP,641.923.2720,,,,,E DP DW SH,IA,3.1,NE,Goodell,POINT(-93.56 42.941)
-93.086,41.399,ELKR,Elk Rock State Park,SP,641.842.6008,all year,,75,,E DP DW SH RS L$,IA,26.2,E,Sweetwater,POINT(-93.086 41.399)
-91.398,42.852,ELKA,Elkader City Park,CP,563.245.2098,,,125,,WE DP DW SH,IA,0.4,E,Elkader,POINT(-91.398 42.852)
-95.09,41.57,ELKH,Elkhorn Creek Rec Area,CP,,,,7,,E ND NS L$,IA,2.2,SW,Elk Horn,POINT(-95.09 41.57)
-95.175,43.355,EMER,Emerson Bay State Rec Area,SRA,712.337.3211,all year,,115,,E DP DW SH RS L$,IA,2.4,NW,Milford,POINT(-95.175 43.355)
-92.734,41.235,EVEL,Eveland Access,CP,641.673.9327,,,26,,E DW,IA,4,SW,Beacon,POINT(-92.734 41.235)
-91.725,41.733,FWKE,F. W. Kent County Park,CP,319.645.2315,,,85,,WE DP DW SH,IA,3.6,NW,Tiffin,POINT(-91.725 41.733)
-90.924,41.433,FAIR,Fairport State Rec Area,SRA,563.263.4337,all year,,40,,E DP DW SH RS L$,IA,6.2,E,Muscatine,POINT(-90.924 41.433)
-94.628,42.495,FEAT,Featherstone County Park,CP,712.297.7131,,,61,,WE DP DW SH,IA,6.9,N,Rockwell City,POINT(-94.628 42.495)
-91.008,41.162,FERR,Ferry Landing,COE,563.263.7913,,,50,,NH DP NS NR,IA,18.3,S,Muscatine,POINT(-91.008 41.162)
-94.24,40.737,FIFE,Fifes Grove Co Park,CP,641.464.2787,,,10,,E ND FT NS,IA,1.6,N,Mount Ayr,POINT(-94.24 40.737)
-90.908,42.324,FILL,Fillmore County Rec Area,CP,563.556.6745,,,,,E L$,IA,0.6,NE,Fillmore,POINT(-90.908 42.324)
-90.806,42.654,FINL,Finleys Landing City Park,CP,563.552.1571,,,30,,E DW SH,IA,12.8,NW,Dubuque,POINT(-90.806 42.654)
-91.118,41.27,FLAM,Flaming Prairie Park,CP,319.523.8381,,,24,,E,IA,3.7,E,Grandview,POINT(-91.118 41.27)
-91.908,42.604,FONT,Fontana County Park,CP,319.636.2617,,,55,,E DP DW SH L$,IA,9.4,N,Independence,POINT(-91.908 42.604)
-93.046,42.158,FORE,Forest Reserve - Marshalltown,CP,641.752.5490,,,,,NH ND NS,IA,,,Liscomb,POINT(-93.046 42.158)
-91.311,42.614,FOUN,Fountain Springs County Park,CP,563.927.3410,,,,,,IA,2.5,NE,Greeley,POINT(-91.311 42.614)
-90.968,41.063,FOUR,Fourth Pumping Plant Rec Area,CP,319.753.8260,,primitive,22,,E DP,IA,7,NE,Kingston,POINT(-90.968 41.063)
-94.207,42.677,FRAN,Frank A Gotch Park,CP,515.332.4087,,,,,E DP SH L$,IA,3.1,S,Humboldt,POINT(-94.207 42.677)
-91.106,42.852,FREN,Frenchtown County Park,CP,563.245.1516,,,,,NH,IA,4.3,N,Guttenberg,POINT(-91.106 42.852)
-91.471,42.908,FRIE,Friedens County Park,CP,563.245.1516,,,,,NH,IA,5,NW,Elkader,POINT(-91.471 42.908)
-95.917,41.268,FRND,Friendship City Park,CP,,,,,,E DP,IA,2.9,W,Council Bluffs,POINT(-95.917 41.268)
-94.865,43.393,FTDE,Ft. Defiance State Park,SP,712.337.3211,all year,,15,,E RS,IA,1.5,SW,Estherville,POINT(-94.865 43.393)
-95.414,42.506,GALV,Galva City Park,CP,712.371.9438,,,6,,E ND FT NS,IA,0.2,SE,Galva,POINT(-95.414 42.506)
-93.222,42.886,GALV,Galvin Memorial Park,CP,641.892.4718,,,,,E DP DW SH,IA,0.8,SW,Sheffield,POINT(-93.222 42.886)
-92.85,42.938,GATE,Gates Bridge County Park,CP,641.756.3490,,,,,NH ND NS N$,IA,2,S,Marble Rock,POINT(-92.85 42.938)
-91.383,40.824,GEOD,Geode State Park,SP,319.392.4601,all year,,170,,E DP DW SH RS L$,IA,4.5,SW,Danville,POINT(-91.383 40.824)
-92.946,43.054,GEOW,George Wyatt City Park,CP,641.756.3718,,,36,,E DW SH,IA,0.2,NE,Rockford,POINT(-92.946 43.054)
-92.396,42.536,GEOR,George Wyth State Park,SP,319.232.5505,all year,,70,,E DP DW SH RS L$,IA,2.5,E,Cedar Falls,POINT(-92.396 42.536)
-91.632,42.959,GILB,Gilbertson Conservation Education Area,CP,563.426.5740,,,28,,E DP DW SH,IA,0.1,NW,Elgin,POINT(-91.632 42.959)
-92.592,41.343,GLEN,Glendale Access,CP,,,unknown facilities,,,NH,IA,,,Oskaloosa,POINT(-92.592 41.343)
-95.734,41.048,GLEN,Glenwood Lake Park,CP,712.527.3509,,,,,E,IA,0.5,E,Glenwood,POINT(-95.734 41.048)
-91.837,43.041,GOEK,Goeken Co Park,CP,,,only 1 electric site,,,E VT,IA,5.6,N,West Union,POINT(-91.837 43.041)
-94.689,42.551,GORD,Gordon Prange City Park,CP,712.468.2411,,,,,WES L$,IA,0.3,W,Pomeroy,POINT(-94.689 42.551)
-91.957,43.009,GOUL,Gouldsburg County Park,CP,563.425.3613,,,26,,E DP DW SH,IA,4.9,N,Hawkeye,POINT(-91.957 43.009)
-93.033,42.168,GRAM,Grammer Grove Wildlife Area,CP,,,tent only,,,NH ND FT DW NS,IA,1.9,SW,Liscomb,POINT(-93.033 42.168)
-94.893,42.264,GRAN,Grant County Park,CP,712.662.4530,,primitive,,,WES DP,IA,1.2,NW,Auburn,POINT(-94.893 42.264)
-91.362,40.79,GRAY,Grays Landing,CP,319.376.2341,,,,,NH L$,IA,3.6,N,Denmark,POINT(-91.362 40.79)
-95.081,41.9,GREA,Great Western Co Park,CP,712.792.4614,,,8,,WE DP L$,IA,1,SW,Manning,POINT(-95.081 41.9)
-94.383,41.115,GREE,Green Valley State Park,SP,641.782.5131,all year,,145,,E DP DW SH RS L$,IA,4,N,Creston,POINT(-94.383 41.115)
-92.802,42.893,GREE,Greene Rec Area - Camp Comfort,CP,319.278.4237,,,30,,E DP NS,IA,0.2,S,Greene,POINT(-92.802 42.893)
-95.165,43.371,GULL,Gull Point State Park,SP,712.337.3211,all year,,110,,E DP DW SH RS L$,IA,3.3,N,Milford,POINT(-95.165 43.371)
-94.967,40.984,HACK,Hacklebarney Woods County Park,CP,,,,14,,E VT NS NR,IA,3.8,N,Villisca,POINT(-94.967 40.984)
-94.998,42.385,HAGG,Hagge County Park,CP,712.662.4530,,,15,,WES DP DW SH L$,IA,2.6,S,Sac City,POINT(-94.998 42.385)
-92.923,43.354,HALV,Halvorson Park,CP,641.736.2221,,,,,E DP DW SH,IA,1.7,S,St. Ansgar,POINT(-92.923 43.354)
-92.112,41.863,HANN,Hannen County Park,CP,319.454.6382,,,90,,E DW SH,IA,3.5,SW,Blairstown,POINT(-92.112 41.863)
-92.411,43.119,HAUS,Haus Park,CP,,,tents only,,,NH ND NS,IA,0.3,E,North Washingt,POINT(-92.411 43.119)
-96.488,43.003,HAWA,Hawarden City Park,CP,,,,15,,WES DP L$,IA,0.4,N,Hawarden,POINT(-96.488 43.003)
-94.37,41.988,HEND,Henderson Co Park,CP,,all year,,4,,E,IA,2.1,S,Jefferson,POINT(-94.37 41.988)
-93.353,41.99,HICK,Hickory Grove County Park,CP,515.232.2516,,,54,,E SH,IA,5.6,SE,Nevada,POINT(-93.353 41.99)
-92.311,42.27,HICL,Hickory Hills Park -  La Porte City,CP,319.342.3350,,,80,,WES DP DW SH L$,IA,6.9,SW,La Porte City,POINT(-92.311 42.27)
-93.609,41.18,HICN,Hickory Hills Park - New Virginia,CP,515.961.6169,,,,,NH ND NS,IA,6.2,E,New Virgiinia,POINT(-93.609 41.18)
-91.521,41.555,HILL,Hills Access,CP,319.645.2315,,,13,,E,IA,0.7,E,Hills,POINT(-91.521 41.555)
-95.853,43.191,HILP,Hills Park - Sheldon,CP,712.324.2769,,,23,,WE DP L$,IA,0.7,N,Sheldon,POINT(-95.853 43.191)
-96.319,42.637,HILV,Hillview County Rec Area,CP,,,2 campgrounds,,,,IA,1.5,NW,Hinton,POINT(-96.319 42.637)
-95.857,41.413,HITC,Hitchcock County Nature Center,CP,712.328.5833,,,19,,E DP DW SH L$,IA,1.3,S,Honey Creek,POINT(-95.857 41.413)
-91.976,42.164,HOEF,Hoefle - Dulin Area County Park,CP,,,,16,,E PT,IA,2.2,E,Vinton,POINT(-91.976 42.164)
-91.311,42.614,HOLB,Holbert Park,CP,,,,,,,IA,2.5,NE,Greeley,POINT(-91.311 42.614)
-92.928,40.861,HONE,Honey Creek State Park,SP,641.724.3739,all year,,150,,RS,IA,6.1,W,Moravia,POINT(-92.928 40.861)
-93.997,40.943,HOPE,Hopeville Square Co Park,CP,641.342.3960,,,4,,E FT NS,IA,0,N,Hopeville,POINT(-93.997 40.943)
-90.664,42.055,HORS,Horseshoe Pond,CP,563.652.2484,,,20,,E DP FT DW SH,IA,1,S,Maquoketa,POINT(-90.664 42.055)
-92.559,42.985,HOWA,Howards Woods,CP,,,,,,NH,IA,2.5,NW,Nashua,POINT(-92.559 42.985)
-92.973,41.365,HOWE,Howell Station - Red Rock Lake,COE,641.828.7522,mid apr-late oct,,140,,E DP DW SH RS,IA,4.2,SW,Pella,POINT(-92.973 41.365)
-91.38,40.391,HUBI,Hubinger Landing Park,CP,319.524.7122,,,18,,WE DP NS,IA,1.3,SE,Keokuk,POINT(-91.38 40.391)
-96.134,41.925,HUFF,Huff - Warner Access Area,CP,,,,25,,E DP VT DW L$,IA,2.7,W,Blencoe,POINT(-96.134 41.925)
-94.575,42.113,HYDE,Hyde Park,CP,,,,28,,E FT DW,IA,6.4,N,Scranton,POINT(-94.575 42.113)
-95.467,42.348,IDA,Ida Grove City Park,CP,712.364.2428,,,,,E DP FT DW NS RS L$,IA,0.3,NE,Ida Grove,POINT(-95.467 42.348)
-91.891,42.461,INDE,Independence City RV Park,CP,319.334.6711,,,,,E DP DW SH,IA,0.5,S,Independence,POINT(-91.891 42.461)
-91.752,40.633,INDI,Indian Lake Park,CP,319.878.3706,,,,,E DP DW SH,IA,0.7,SW,Farmington,POINT(-91.752 40.633)
-91.236,40.724,INDP,Indian Path Park,CP,319.463.7673,,,12,,E,IA,0.9,N,Wever,POINT(-91.236 40.724)
